record timestamp,client timestamp,button,state,x,y
0.8920142650604248,0.8920142650604248,Left,Pressed,1416.0,0.0
0.9719665050506592,0.9719665050506592,Left,Released,1416.0,0.0
1.2362823486328125,1.2362823486328125,NoButton,Move,1415.0,0.0
1.2518348693847656,1.2518348693847656,NoButton,Move,1414.0,0.0
1.2602818012237549,1.2602818012237549,NoButton,Move,1414.0,0.0
1.2685046195983887,1.2685046195983887,NoButton,Move,1414.0,6.0
1.2762811183929443,1.2762811183929443,NoButton,Move,1414.0,19.0
1.2842803001403809,1.2842803001403809,NoButton,Move,1414.0,36.0
1.2922327518463135,1.2922327518463135,NoButton,Move,1414.0,56.0
1.3002643585205078,1.3002643585205078,NoButton,Move,1414.0,75.0
1.3082621097564697,1.3082621097564697,NoButton,Move,1414.0,95.0
1.3162834644317627,1.3162834644317627,NoButton,Move,1412.0,113.0
1.3237121105194092,1.3237121105194092,NoButton,Move,1410.0,130.0
1.3315026760101318,1.3315026760101318,NoButton,Move,1407.0,147.0
1.339766025543213,1.339766025543213,NoButton,Move,1407.0,156.0
1.3482646942138672,1.3482646942138672,NoButton,Move,1407.0,165.0
1.3562142848968506,1.3562142848968506,NoButton,Move,1407.0,176.0
1.3642585277557373,1.3642585277557373,NoButton,Move,1403.0,189.0
1.3717710971832275,1.3717710971832275,NoButton,Move,1401.0,200.0
1.3802275657653809,1.3802275657653809,NoButton,Move,1398.0,210.0
1.3882818222045898,1.3882818222045898,NoButton,Move,1394.0,220.0
1.3962578773498535,1.3962578773498535,NoButton,Move,1392.0,229.0
1.4042551517486572,1.4042551517486572,NoButton,Move,1388.0,236.0
1.4122512340545654,1.4122512340545654,NoButton,Move,1385.0,243.0
1.4202818870544434,1.4202818870544434,NoButton,Move,1381.0,250.0
1.428281307220459,1.428281307220459,NoButton,Move,1378.0,257.0
1.4363656044006348,1.4363656044006348,NoButton,Move,1375.0,262.0
1.4442393779754639,1.4442393779754639,NoButton,Move,1371.0,268.0
1.4518122673034668,1.4518122673034668,NoButton,Move,1366.0,276.0
1.460218906402588,1.460218906402588,NoButton,Move,1361.0,281.0
1.4682252407073975,1.4682252407073975,NoButton,Move,1355.0,288.0
1.4759728908538818,1.4759728908538818,NoButton,Move,1350.0,293.0
1.4842259883880615,1.4842259883880615,NoButton,Move,1345.0,298.0
1.4921023845672607,1.4921023845672607,NoButton,Move,1340.0,303.0
1.5000605583190918,1.5000605583190918,NoButton,Move,1336.0,308.0
1.507655143737793,1.507655143737793,NoButton,Move,1331.0,313.0
1.5162465572357178,1.5162465572357178,NoButton,Move,1324.0,316.0
1.5234863758087158,1.5234863758087158,NoButton,Move,1316.0,322.0
1.5314807891845703,1.5314807891845703,NoButton,Move,1309.0,327.0
1.5394854545593262,1.5394854545593262,NoButton,Move,1301.0,333.0
1.5480012893676758,1.5480012893676758,NoButton,Move,1294.0,338.0
1.5560760498046875,1.5560760498046875,NoButton,Move,1289.0,342.0
1.5642569065093994,1.5642569065093994,NoButton,Move,1283.0,345.0
1.5723235607147217,1.5723235607147217,NoButton,Move,1275.0,351.0
