type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
1,1030.4384155322907,2.76834774017334,1,0.8385780169822691,203,339.3389604632126,0.015629320010559604,0.5267162861791148,4.71238898038469,-2.356194490192345,0.5889297891619208,82.03657941328403,651.6498615272634,-559.9521771767077,1747.9605956088303,864.1030031194198,88,162.34823694810896,488.09933051827863,2008.7061570235564,-746.5609777804148,494.92047254363683,610.580481709618,2630.285901991818,-237.65108504731145,618.7817922819056,705.9440277267855,3306.7400202299614,4.614657793024384,490.09705901656014,26728.063309146244,119665.43924348614,-78206.23730652471,4119.782559652548,4772129.511255013,12964414.561391428,-14443917.222027436,0.048371315002441406,7,1,3,205,1
4,733.5086345892341,2.4479894638061523,3,0.9175241506798597,196,309.0903994511007,0.02549174219081433,1.175424418397157,4.71238898038469,-4.71238898038469,-0.8653975030151481,360.1946242312493,852.0145033337825,-773.7844163315131,824.0463664002253,673.0118869678306,82,-423.97367456784616,429.68678733125245,0,-2362.7663130222513,0.601839104827153,135.26514212510813,375.2844403352322,-285.0262648228059,460.84861447512105,412.2685378336176,2362.7663130222513,0.0,404.8898728051111,22933.678764531596,102062.5554096364,-52660.777753963914,12034.134887077547,4691712.6735678315,18279423.110358488,-16890626.71544815,0.19114208221435547,7,1,206,402,1
3,114.83795962189146,0.7519960403442383,2,0.9086331734691788,57,101.79995106390594,0.06665814822474805,0.6589476381991448,3.141592653589793,-1.5707963267948966,6.338885591170397,90.74751705606882,399.03078654600824,-210.3776644206387,115.13664532946174,104.34557968596465,35,-39.006691829484154,73.2826837657536,0,-254.84120667132484,218.5226369993137,169.73230234910696,637.1030166783121,0.0,237.4033799585294,163.82798859642944,686.1809487870546,0.0,1467.2000287450358,17849.214924996875,46895.77166897108,-36586.875396039366,163692.99352550422,3985821.7412514444,9150532.215934029,-9849880.365520203,0.007998228073120117,7,1,403,460,1
3,452.5720895447263,2.70406436920166,4,0.9377892656965257,92,36.15053641558544,0.041609163257756265,1.8311180966325376,5.695182703632019,-4.71238898038469,-7.466985777997979,316.24922177536007,768.2667096854135,-797.3999307757921,361.30247037041437,424.4172475288911,44,-556.504999469851,684.8643795021511,0,-2501.821652251715,-92.71250144412886,138.10349865551606,125.0463299743605,-500.34940801049777,590.1961933361486,676.3235112184644,2550.9110140673038,0.0,1030.7632262316433,26528.406788079566,85769.21136625292,-96571.0403963851,95730.47084407412,4267153.034328866,14092165.698294232,-10442159.53166195,0.08006405830383301,7,1,461,553,1
3,643.7547702078183,1.3999910354614258,0,0.6931673085727574,89,28.147487608970444,0.01645956544980739,0.6928066967689608,1.5707963267948966,-1.5707963267948966,2.761288717155111,81.97888133131993,199.70286795371894,-203.82370117130125,356.0811351649163,446.22976144582736,27,607.6078199916785,1123.4083246968833,3251.883226479797,-1129.2212151126269,115.15452871216178,283.07426814995443,1243.493625852357,-250.04047810664997,887.6680807959704,963.044364781565,3463.9724082150287,0.0,2258.0602762558733,34472.710575913356,89882.61208724939,-91429.98610852708,-84541.40825968543,4807053.081850632,14643948.688627072,-16471084.31682113,0.007663726806640625,7,1,554,644,1
3,507.39314519890536,1.0479919910430908,4,0.9304142197305939,74,-30.30893114767922,0.08452057485394812,1.5022025779556518,4.71238898038469,-4.71238898038469,-7.847015827476112,226.7317900054597,755.742161930292,-779.3745029117597,387.6202187222232,472.0857972868915,23,-778.7473415450113,736.2084282295847,0,-2501.374045801527,-133.3907606745019,239.33892488517176,393.81903539795314,-752.6340281723839,839.9708441348814,718.1558213753094,2501.374045801527,0.0,732.8275040242752,32110.189901474594,79758.7055305306,-93380.54945192754,24401.37090004629,5360498.852422833,16079748.076056678,-11652951.250068614,0.015617609024047852,7,1,645,720,1
3,631.3276867441461,1.367992877960205,0,0.7735517198708052,69,87.06134086107075,0.046498660601935776,0.13729808061527043,1.5707963267948966,-0.39498295425827573,4.735491411308335,40.34354064961038,196.7214271494175,-172.98017827884462,390.0159696778756,488.3646178829912,25,868.2555664789797,1450.4527929068402,4968.440787578037,-625.3808075386175,158.20777479068045,164.53164034119322,632.0911447344625,0.0,1133.7320532173312,1268.675454749046,4984.745650762259,0.0,1647.2255758184813,45358.27767345096,154464.12190207953,-136967.2651174561,1078.0615961503324,6420415.6484184675,12670848.14745122,-23244439.421440113,0.09538841247558594,7,1,721,791,1
3,662.4153197215426,2.4957220554351807,5,0.893521891911065,247,-381.7746670442512,0.05290757206317383,2.015618739613365,5.961434752782944,-4.71238898038469,3.0264957950332834,267.19590478888995,745.5666764867613,-726.6503005454452,129.3398409264023,591.8825897084657,61,-207.5052110040072,276.54333962066863,251.1408897670798,-1250.761615077235,-205.37581999329674,156.8819911608915,0,-750.456969046341,325.0406706686932,283.740047311521,1458.6261618868743,0.0,439.88576487761264,18614.796795514092,44598.45966062166,-63299.962367583306,33559.92847376174,3945876.918880104,10680534.259457316,-11455187.476588024,0.00796365737915039,7,1,792,1040,1
1,1712.1420500231768,3.032024383544922,0,0.7768635482352879,309,53.20213334074601,0.0019846805674548942,0.47300697077982007,1.5707963267948966,-1.5707963267948966,-0.22472979583579022,66.5567884092818,200.30394371461577,-204.36109422318128,1246.2153730932534,1330.100748063845,85,518.1474847656406,602.72725701502,2750.191525900022,10.429648491117787,136.39492844059893,545.3022764289038,1856.4343464148717,-1125.282775889823,684.3317695792812,691.5405448714619,3167.5361341417806,10.429648491117787,418.80724029848284,22479.513016911907,64741.414084580334,-77539.17943100081,-8637.776728154251,4168318.775629427,11631454.209873486,-17586736.606338814,0.01614546775817871,7,1,1041,1349,1
4,1144.7325952794677,2.1839759349823,0,0.9443253424054826,139,115.00604736535875,0.17761923177879269,1.42904469420882,5.961434752782944,-4.71238898038469,0.42571755977513825,326.48058143068425,782.3458911895954,-818.9208635124336,1024.0,1081.0,54,-969.4040339134455,1072.3835664762782,124.40099655949697,-3252.077177705544,-3.8662428107883895,187.9769774010693,500.48374202016583,-643.6733065283447,1016.5125172133528,1044.2450178948982,3252.077177705544,0.0,611.4730187871683,28217.362692330073,94180.32696889358,-75122.12046436564,58039.55646881605,5192323.3241872,22688805.284288693,-15876755.029251212,0.040001630783081055,7,1,1350,1488,1
