type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
3,123.79037692376662,0.5927000045776367,2,0.9679322606324607,28,46.635910714379584,0.03220479548902445,0.5627792776640023,1.5707963267948966,-1.5707963267948966,8.300280917404226,72.80208116345874,197.70134483604326,-138.3953715097641,133.08218097926542,119.82069938036582,8,-56.41267453594164,100.83903557386996,0,-378.08094708692647,517.2165856002854,499.7670262436062,1703.9049392328786,0.0,534.8323628575507,493.40476738734225,1703.9049392328786,0.0,2970.6167545881763,41199.26998001829,99296.19093708333,-90538.3725553065,203157.78731195407,8923458.556334874,21708141.68671219,-21140183.437616415,0.016178607940673828,7,10,273,301,1
3,85.74302343696544,0.7354614734649658,1,0.8910376461803029,50,63.64270869721948,0.013480949271589493,0.5406291717884704,3.141592653589793,-1.5707963267948966,7.526195462364905,98.12986199422024,392.93835013187464,-196.4574581542564,44.070529623454256,76.40026177965623,23,41.336806231019644,80.34232875147491,250.32401301065323,-125.0761615077235,167.40791428415022,140.58958886765654,500.7675730531594,0.0,190.61926979628305,139.1017827467545,516.1793993955961,0.0,737.1319011932512,11385.503660325197,23482.871499281722,-25158.039131645673,1151.4497016246705,2331427.070984683,5107352.264489033,-5413392.136267975,0.015990734100341797,7,10,302,352,1
1,73.46284073991416,0.4724757671356201,6,0.980181863161407,41,-60.797409136000205,-0.04968492160535091,0.28056998876211,0.46364760900080615,-1.5707963267948966,-5.40491438915151,60.57168539040193,196.79781697416638,-204.29138966391136,35.482688948885965,72.00694410957877,29,2.950389246807252,51.85172699321709,242.11643143706524,-127.5096978172311,-197.61633434503943,142.61687654743287,0,-625.474067225387,202.05047928078744,145.52156368855134,625.474067225387,12.516350050431804,1427.476353728731,18202.985703728948,41321.92783762537,-46942.86931892763,168630.2183103414,3661279.055955269,7834905.57143825,-9458009.296915784,0.02374434471130371,7,10,353,393,1
3,422.51655831069894,1.536405324935913,2,0.9649491709106347,146,230.79159555018518,0.016523590507066185,0.31020815367000626,1.5707963267948966,-1.5707963267948966,0.5807502181738278,48.63740562239814,236.57845659014683,-199.1715987986681,374.82064083091956,407.7070026379238,92,-19.58877730822052,103.30574530313177,251.55510240801271,-376.0470996084994,338.6922483775462,378.8506188115961,1878.382993969069,0.0,351.31996800017004,381.7792782318677,1895.0061763550764,0.0,472.38235921389304,21382.40144776551,95219.97928584582,-96519.67402508762,7000.832725343657,3829245.760878026,10340140.18792229,-12064591.783074109,0.04795575141906738,7,10,397,543,1
3,422.64409480158974,1.056093692779541,6,0.9671733535778202,76,-98.42542812020696,0.019959337111900954,0.1967064251758009,1.5707963267948966,-0.26934605040907433,-2.4567017717102173,29.28971889173402,74.96008243123238,-170.47825778042463,354.392353263087,408.7701065391157,44,53.19360038356424,107.81849331901459,254.97288753799393,-254.18483728258894,-669.2422361776086,522.6661387719276,0,-1883.8386681438453,686.4094942833626,513.6305115315164,1900.5101317734209,0.0,561.7399563593665,25176.102635643536,89319.69793294536,-47087.25110703436,44478.99750767125,4601185.471258142,9752182.331911976,-11333425.297987113,0.039974212646484375,7,10,544,620,1
3,408.6821590637121,1.1045684814453125,2,0.992080092237809,56,89.35950426679243,0.00577151180991164,0.3176699267636394,1.5707963267948966,-1.5707963267948966,1.7790176591631384,44.86089097205339,196.1766709344075,-196.6392274783209,358.91882797355646,405.44543405987446,35,-41.71827600521034,107.40728002809536,0,-625.0453028135431,893.6974896213114,911.6466219279296,3241.949047736829,0.0,900.8857608287611,911.6307087799344,3244.541570380433,0.0,662.5203213730485,34036.86342976806,93555.06411925046,-67980.74158595096,-13125.91003231051,5784374.297730343,11782553.025949499,-10923999.048461113,0.06398415565490723,7,10,621,677,1
1,1776.8401478663002,1.1279799938201904,1,0.5479560562368015,141,220.32007271940108,-0.002919756297796584,0.12917301672819304,0.7853981633974483,-0.7853981633974483,1.7644865321860508,35.55528219598334,194.86534506539905,-196.43988540687386,1820.8163443613685,973.6303199880332,25,293.5225755473169,1888.6612319460241,6754.112721417069,-1844.4029274115023,812.1990811657488,606.5708018202464,2766.6043911172537,62.50173603349874,1575.8402129595408,1474.007853496893,6772.011340607963,62.50173603349874,650.8151775021271,44499.26501657733,187416.13010132525,-148056.86426369817,55326.4007427185,7052937.250589967,17162133.32433377,-25397199.757988084,0.0160214900970459,7,11,3,143,1
4,1679.6723790823967,5.152435541152954,4,0.47350873898627205,235,63.05890601524163,0.009350243113921271,0.9737073559348484,5.695182703632019,-4.71238898038469,1.124760005446913,111.73895302331006,717.1648731408249,-589.1264366612049,1102.1255008095727,795.3395501293771,92,-386.48097086930824,1513.3072046572577,875.6114640183711,-7867.129689174705,-171.58524901103334,1080.5976243842645,1875.7508720670226,-4777.2670767027885,881.1015693114819,1689.7194685943061,9129.762227312318,0.0,657.8881495916067,37534.36090496498,164870.94319592963,-156098.21759905404,-18623.779902604383,4802526.535651923,16068778.964853961,-18137563.009718116,0.18344473838806152,7,11,144,379,1
3,140.73724726539925,0.8006811141967773,4,0.8938744595255343,64,-23.153908758886256,0.2323658232091168,2.622959890445855,5.961434752782944,-4.71238898038469,0.5530257755255676,379.1122484882077,753.4517434508739,-798.7499881592292,600.7801302311656,125.80143083447024,11,-186.35387578233087,166.78753980029455,0,-625.194371571667,-142.50619028540322,143.98645925652878,0,-499.9170441001192,259.4772007686001,189.3866548243744,800.2577354458149,0.0,881.8141660896473,18901.8612655726,41033.747729083305,-42290.61967648999,120859.03490084557,3917043.1711697713,9709634.907739861,-8548341.120691096,0,7,11,380,444,1
3,175.35299775503975,0.9601178169250488,5,0.776919087050485,43,-38.54338497609826,0.03561782288994697,1.1763243814695798,4.71238898038469,-3.887522570888571,-1.4865124109122396,161.44654082240834,592.6772002154015,-659.8577979830022,592.0941473366755,136.23509092741122,13,-272.41122917734816,487.3772767544468,250.9455546248654,-1462.2173485880899,-297.6663268647017,473.50996758464487,284.7360238959981,-1376.8231572664877,488.5730750794934,618.2587927287769,1947.1219819956116,0.0,1990.4220485654664,33173.23892607387,91288.9455426377,-82765.59805541433,86249.03796473716,6078413.5324483365,21761637.95366155,-20741220.050315976,0.06400585174560547,7,11,445,488,1
