type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
3,558.8051179433397,0.40036988258361816,7,0.9803274772564872,27,-7.046385826527208,-0.004920970525610067,0.624290109012797,1.6660811018093737,-1.5707963267948966,4.5223751271673285,75.71928189209719,294.66861396003674,-196.46917506593732,559.2703218250793,547.812011551408,4,2323.9051635489395,2004.9963870750728,6378.8842368939095,0.0,-1001.7072424208695,1005.6699996357432,250.14486357536816,-2626.5993916621983,2564.6504012384607,2201.03590258668,6898.491753417831,15.634170524605073,1754.7758800028935,94557.63624717631,232224.0113420382,-244737.54482154027,-196397.11283430827,13768922.95702896,28146583.42772221,-41571934.71244658,0.0645618438720703,7,1,2,29,1
3,976.9503588707505,1.28220796585083,0,0.6581323892658432,111,10.499030015653055,0.002347166433900572,0.1481743962293523,0.5880026035475675,-0.7853981633974483,0.6275812725486902,32.562050682655446,157.07963267948966,-98.21408599416525,1743.5366710154972,642.9626738777299,25,603.7381625793759,781.4528468811417,3371.225529887975,0.0,374.705075506779,933.1378691720726,3001.827876185364,-1498.45628032987,1078.4834202183588,900.6799220208818,3371.225529887975,0.0,4386.385265619272,64684.769642092906,483940.3931231236,-98366.7999007882,2753783.0023525334,32575099.774788488,328713345.7257705,-36985589.58301529,0.029998311996459963,7,1,30,141,1
1,167.30754454535767,0.40880632400512695,1,0.9797386167075784,39,54.17745193882482,0.04509913861654745,0.11941523576062842,1.5707963267948966,-0.28778244457165286,5.041874426497561,47.75126934203689,196.46917506593732,-87.35037621334371,1436.4406907533742,163.9176622576103,18,79.15736010436308,111.2152504014578,271.484772969999,0.0,516.0070997613285,278.1656855149466,1143.719135592065,17.709291426351744,533.0683910922528,278.38828728948226,1143.719135592065,17.709291426351744,1545.0254648714995,32331.609264814113,77932.7297484308,-52015.39827725766,-57458.33054966157,6494398.040241116,18018120.001826756,-13942643.431049474,0.023987531661987305,7,1,142,180,1
4,1510.5053097591065,1.4073510169982901,3,0.7612923157243187,108,208.4573033923315,-0.01103304312387216,0.23503875619578965,1.5707963267948966,-1.5707963267948966,0.21073595306532866,39.70507280515874,138.4820414409276,-165.7095872815454,940.4183536255916,1149.9360851803895,49,-1314.6139316440729,2025.3174486106993,750.5464956755145,-5253.1987833243875,198.07876038462004,232.4468580173051,750.4569690464244,0.0,1746.0394080234319,1688.4270356786812,5253.1987833243875,0.0,255.56888542011194,39426.968530510414,109796.00192805142,-157743.12684516035,-17299.56497324992,6454563.640255958,21522972.924571186,-21893603.81338433,0.11148524284362793,7,1,181,288,1
1,978.7885975041467,1.6960828304290745,7,0.9861772348524737,89,-1.1361847798557738,-0.012860532401846973,0.23753529216936653,0.7853981633974483,-1.5707963267948966,0.7122053993427734,30.79876075881476,138.4820414409276,-138.46552451437591,771.9741280215949,965.2590325917702,44,1336.2064134438813,1640.6037525317327,6757.135236730655,3.117062712034453,-178.85408052200412,359.0289211771033,250.17470400530448,-1751.849876189429,1364.9400006427045,1665.4791103119915,6980.533976435611,3.117062712034453,1666.1386445017304,54154.599036034626,198224.39588922364,-199131.79446361796,54222.000512562314,8908446.851561865,27790963.92512005,-32368227.06778636,0.07996726036071689,7,1,289,377,1
4,914.4442519395272,0.6636674404144269,3,0.9984421828615239,43,115.35330282750769,0.04021122582885073,0.08088453581910734,1.5707963267948966,-0.30332138401550834,0.650447542119427,168.06251901267453,771.9197585625162,-764.4728893459194,891.072762858792,913.0197150116749,28,-2650.8526885236147,1714.725392406836,0,-5885.775774042338,17.65381602385024,114.52387497661468,375.2172953631369,-373.8683147135726,2655.058148032154,1711.8262273331493,5885.775774042338,0.0,2052.808158012169,64583.37643175627,159050.03063472424,-125296.9452947669,184528.4147420955,11309052.566325882,24535831.41146893,-27535789.640521884,0.11106777191161754,7,1,378,420,1
3,1639.1865285408896,1.599649429321289,7,0.7384946381379834,107,5.459576850491699,0.017978095584781726,0.41858982588645144,2.980717376391472,-1.5795594816216036,1.657101866879629,196.33714485841625,755.1906691309908,-770.2309802491832,1304.459531802224,1210.5304622354615,28,1397.0235278901232,2652.6309227185816,9514.383427294259,-1000.489951696583,-258.15506080032276,439.5553527389187,777.4188007782956,-1534.8928440729421,1917.0951351145136,2354.0309708816517,9514.383427294259,0.0,2084.3702564215523,78215.01112265607,389161.1944007301,-289386.31528602884,231343.533549077,14219182.754866647,55847022.39728548,-75762931.82669443,0.07914233207702814,7,1,421,528,1
1,157.89780777397965,0.2728419303894043,1,0.9446891062305435,35,38.78724694276941,-0.006177997918498941,0.16868841212656105,0.39269908169872414,-0.7853981633974483,0.05343411615360115,61.60861317543207,196.5219184685959,-196.46331643535643,1824.4776332178915,149.164338901763,11,209.2408291381603,208.9108104442243,750.3450907898267,125.06124396210066,487.1762682669037,253.05069749645816,1000.4004651026341,0.0,561.370870729701,267.69889292808097,1118.4817223459481,125.00160934612863,1046.622024591594,26991.507495995746,78262.23396413877,-66370.74734558555,17020.219324442005,4557282.155950848,9791367.664866522,-8002633.11141738,0.023992300033569336,7,1,530,564,1
4,1219.6558026056846,2.52805757522583,4,0.9167048576099693,137,241.68891659979792,0.002165329068552965,0.29432285134062336,1.5707963267948966,-1.096099960069389,3.94531074066542,243.25021956378927,764.2017139247411,-770.3917752407357,1328.0272598902766,1118.064398860817,87,-1016.954677375677,1248.8653304917432,750.5017296910414,-4582.421188544943,-12.201263277437128,114.0631419136577,250.16724323034714,-374.5917656515138,1108.6901468801502,1172.5874998797228,4582.421188544943,0.0,1788.9259901938447,38000.02011940814,109436.5155780798,-98795.17323313901,145742.14177042668,7045264.585187938,20303517.346787803,-17616066.853169285,0,7,1,565,702,1
3,792.7695490421964,0.6074168682098389,7,0.7582906438451785,69,23.49688226883201,-0.07004679422803373,0.9213466362195564,1.6368064874828074,-3.141592653589793,5.081494292733156,296.3477775517006,765.1292715239284,-746.1228702953177,781.9582629116036,601.149731764059,13,1034.9606324108968,1686.1366107728654,5078.953519421262,-750.2779798461578,-347.5359699785793,739.8710618167363,375.2620560078759,-2474.361971000102,1439.1195061898864,1576.536901504099,5649.622643679234,0.0,443.4363033782719,44603.20013778109,113082.09872617888,-156853.60930041925,-45630.369846284375,6279178.310327683,15693258.52693555,-18975202.39424819,0.02401542663574219,7,10,2,71,1
